motif	HGNC	sub_cluster
SP100.H13CORE.0.PSGI.A	SP100	1352
SP140.H13CORE.0.PSGIB.A	SP140	1353
SP140L.H13CORE.0.PSGIB.A	SP140L	1354
STA5A.H13CORE.0.P.B	STAT5A	1355
STA5B.H13CORE.0.P.B	STAT5B	1356
STAT1.H13CORE.0.P.B	STAT1	1357
STAT1.H13CORE.1.P.B	STAT1	1358
STAT2.H13CORE.0.P.B	STAT2	1359
STAT3.H13CORE.0.P.B	STAT3	1360
STAT4.H13CORE.0.P.B	STAT4	1361
STAT6.H13CORE.0.P.B	STAT6	1362
ANDR.H13CORE.0.P.B	AR	1363
ANDR.H13CORE.1.S.C	AR	1364
ANDR.H13CORE.2.P.B	AR	1365
ERR1.H13CORE.0.PSM.A	ESRRA	1366
ERR2.H13CORE.0.PSM.A	ESRRB	1367
ERR3.H13CORE.0.PSM.A	ESRRG	1368
ESR1.H13CORE.0.P.B	ESR1	1369
ESR1.H13CORE.1.P.B	ESR1	1370
ESR2.H13CORE.0.P.B	ESR2	1371
ESR2.H13CORE.1.P.B	ESR2	1372
GCR.H13CORE.0.PS.A	NR3C1	1373
GCR.H13CORE.1.S.B	NR3C1	1374
MCR.H13CORE.0.S.B	NR3C2	1375
MCR.H13CORE.1.SM.B	NR3C2	1376
PRGR.H13CORE.0.P.B	PGR	1377
PRGR.H13CORE.1.P.B	PGR	1378
ATOH1.H13CORE.0.P.B	ATOH1	1379
ATOH1.H13CORE.1.SM.B	ATOH1	1380
ATOH8.H13CORE.0.P.C	ATOH8	1381
BHA15.H13CORE.0.P.B	BHLHA15	1382
BHA15.H13CORE.1.SM.B	BHLHA15	1383
BHE22.H13CORE.0.SM.B	BHLHE22	1384
BHE23.H13CORE.0.SM.B	BHLHE23	1385
BHLHA9.H13CORE.0.P.B	BHLHA9	1386
FER3L.H13CORE.0.SM.B	FERD3L	1387
FIGLA.H13CORE.0.SM.B	FIGLA	1388
HAND1.H13CORE.0.P.B	HAND1	1389
HAND1.H13CORE.1.P.B	HAND1	1390
HAND2.H13CORE.0.P.B	HAND2	1391
HAND2.H13CORE.1.P.B	HAND2	1392
HAND2.H13CORE.2.S.C	HAND2	1393
HEN1.H13CORE.0.S.B	NHLH1	1394
HEN2.H13CORE.0.SM.B	NHLH2	1395
LYL1.H13CORE.0.P.C	LYL1	1396
LYL1.H13CORE.1.P.C	LYL1	1397
MESP1.H13CORE.0.S.C	MESP1	1398
MESP2.H13CORE.0.S.C	MESP2	1399
MSGN1.H13CORE.0.PSM.A	MSGN1	1400
MUSC.H13CORE.0.SM.B	MSC	1401
NDF1.H13CORE.0.P.B	NEUROD1	1402
NDF1.H13CORE.1.S.C	NEUROD1	1403
NDF2.H13CORE.0.P.B	NEUROD2	1404
NDF2.H13CORE.1.S.B	NEUROD2	1405
NGN1.H13CORE.0.SM.B	NEUROG1	1406
NGN2.H13CORE.0.P.B	NEUROG2	1407
NGN2.H13CORE.1.SM.B	NEUROG2	1408
OLIG1.H13CORE.0.S.B	OLIG1	1409
OLIG2.H13CORE.0.P.B	OLIG2	1410
OLIG2.H13CORE.1.P.B	OLIG2	1411
OLIG2.H13CORE.2.SM.B	OLIG2	1412
OLIG3.H13CORE.0.SM.B	OLIG3	1413
PTF1A.H13CORE.0.P.B	PTF1A	1414
PTF1A.H13CORE.1.PS.A	PTF1A	1415
TAL1.H13CORE.0.P.B	TAL1	1416
TAL1.H13CORE.1.P.B	TAL1	1417
TAL1.H13CORE.2.P.B	TAL1	1418
TCF21.H13CORE.0.PS.A	TCF21	1419
TCF21.H13CORE.1.SM.B	TCF21	1420
TWST1.H13CORE.0.P.B	TWIST1	1421
TWST1.H13CORE.1.P.B	TWIST1	1422
TWST2.H13CORE.0.P.B	TWIST2	1423
TWST2.H13CORE.1.P.B	TWIST2	1424
IRX1.H13CORE.0.S.C	IRX1	1425
IRX2.H13CORE.0.S.B	IRX2	1426
IRX3.H13CORE.0.M.C	IRX3	1427
IRX3.H13CORE.1.S.B	IRX3	1428
IRX3.H13CORE.2.S.C	IRX3	1429
IRX5.H13CORE.0.M.C	IRX5	1430
IRX5.H13CORE.1.SM.B	IRX5	1431
MEIS1.H13CORE.0.P.B	MEIS1	1432
MEIS1.H13CORE.1.PS.A	MEIS1	1433
MEIS2.H13CORE.0.P.C	MEIS2	1434
MEIS2.H13CORE.1.PSM.A	MEIS2	1435
MEIS2.H13CORE.2.SM.B	MEIS2	1436
MEIS3.H13CORE.0.SM.B	MEIS3	1437
MEIS3.H13CORE.1.S.B	MEIS3	1438
MKX.H13CORE.0.PSGIB.A	MKX	1439
PBX1.H13CORE.0.P.B	PBX1	1440
PBX1.H13CORE.1.P.B	PBX1	1441
PBX1.H13CORE.2.P.B	PBX1	1442
PBX2.H13CORE.0.P.B	PBX2	1443
PBX2.H13CORE.1.P.C	PBX2	1444
PBX2.H13CORE.2.P.C	PBX2	1445
PBX3.H13CORE.0.P.B	PBX3	1446
PBX3.H13CORE.1.P.B	PBX3	1447
PKNX1.H13CORE.0.P.B	PKNOX1	1448
PKNX1.H13CORE.1.P.B	PKNOX1	1449
PKNX1.H13CORE.2.SM.B	PKNOX1	1450
PKNX1.H13CORE.3.SM.B	PKNOX1	1451
PKNX2.H13CORE.0.SM.B	PKNOX2	1452
PKNX2.H13CORE.1.SM.B	PKNOX2	1453
TF2LX.H13CORE.0.SM.B	TGIF2LX	1454
TF2LX.H13CORE.1.SM.B	TGIF2LX	1455
TF2LY.H13CORE.0.SM.B	TGIF2LY	1456
TF2LY.H13CORE.1.SM.B	TGIF2LY	1457
TGIF1.H13CORE.0.PSM.A	TGIF1	1458
TGIF1.H13CORE.1.S.B	TGIF1	1459
TGIF2.H13CORE.0.S.B	TGIF2	1460
