motif	cluster	HGNC
IRF8_MA0652.2	C_STAT1::STAT2	IRF8
ISL2_MA0914.2	C_Nkx3-2	ISL2
ISX_MA0654.2	C_mix-a	ISX
JDP2_MA0656.2	C_FOSL2::JUN	JDP2
JUNJUNB_MA1132.2	C_FOS::JUND	JUN::JUNB
JUNJUNB_MA1133.2	C_FOSL2::JUN	JUN::JUNB
KLF1_MA0493.3	C_KLF5	KLF1
KLF11_MA1512.2	C_SP3	KLF11
KLF13_MA0657.2	C_KLF13	KLF13
KLF15_MA1513.2	C_KLF5	KLF15
KLF17_MA1514.2	C_KLF17	KLF17
KLF2_MA1515.2	C_KLF5	KLF2
KLF3_MA1516.2	C_KLF3	KLF3
KLF4_MA0039.5	C_KLF5	KLF4
KLF6_MA1517.2	C_KLF9	KLF6
KLF7_MA1959.2	C_KLF5	KLF7
KLF9_MA1107.3	C_KLF9	KLF9
LBX1_MA0618.2	C_PRRX2	LBX1
LBX2_MA0699.2	C_mix-a	LBX2
LHX2_MA0700.3	C_Dlx2	LHX2
LHX5_MA1519.2	C_mix-a	LHX5
LHX6_MA0658.2	C_mix-a	LHX6
LHX9_MA0701.3	C_PRRX2	LHX9
LMX1A_MA0702.3	C_mix-a	LMX1A
LMX1B_MA0703.3	C_mix-a	LMX1B
MAF_MA1520.2	C_MAFA	MAF
MAFNFE2_MA0501.2	C_MAFG::NFE2L1	MAF::NFE2
NFE2_MA0841.2	C_FOS::JUND	NFE2
MAFA_MA1521.2	C_MAFA	MAFA
MAFF_MA0495.4	C_MAFF	MAFF
MAFGNFE2L1_MA0089.3	C_MAFG::NFE2L1	MAFG::NFE2L1
MAXMYC_MA0059.2	C_MAX::MYC	MAX::MYC
MYC_MA0147.4	C_Mlxip	MYC
MAZ_MA1522.2	C_PATZ1	MAZ
MEF2A_MA0052.5	C_MEF2D	MEF2A
MEF2C_MA0497.2	C_MEF2D	MEF2C
MEIS1_MA0498.3	C_MEIS1	MEIS1
MEIS1_MA1639.2	C_PBX2	MEIS1
MEIS2_MA1640.2	C_PBX2	MEIS2
